经度,106.0372,,,,,,,,,,,
纬度,37.4053,,,,,,,,,,,
开始时间,2000年01月01日 00时,,,,,,,,,,,
结束时间,2000年01月07日 23时,,,,,,,,,,,
时区,GMT+08:00,,,,,,,,,,,
数据源,欧洲中期天气中心,,,,,,,,,,,
,,,,,,,,,,,,
日期,时间,气温℃,湿度%,气压hPa,降水量mm/h,纬向风m/s,经向风m/s,地面风速m/s,风向°,地表水平辐射W/m^2,法向直接辐射W/m^2,散射辐射W/m^2
2000-01-04,02:00:00,-1.4545654296874773,46.87538250934449,863.235078125,0.0,1.2880182266235352,1.1214264631271362,1.7078021736478364,228.9552001953125,0.0,0.0,0.0
2000-01-04,03:00:00,-1.7928833007812273,49.09562876474332,863.11171875,0.0,0.9903116226196289,1.463842511177063,1.7673573513652219,214.07894897460938,0.0,0.0,0.0
2000-01-04,04:00:00,-4.534918212890602,61.73086140955267,862.644375,0.0,0.8530640602111816,1.9897336959838867,2.164892254075866,203.20640563964844,0.0,0.0,0.0
2000-01-04,05:00:00,-4.364202880859352,56.795424635273406,862.591484375,0.0,0.8712291717529297,1.8862621784210205,2.077745238342495,204.7913360595703,0.0,0.0,0.0
2000-01-04,06:00:00,-4.781652832031227,59.65736770994275,863.11171875,0.0,1.1618714332580566,1.703853726387024,2.0622955046122944,214.29039001464844,0.0,0.0,0.0
2000-01-04,07:00:00,-5.043890380859352,59.15175576450756,863.702421875,0.0,1.1447155475616455,1.3635711669921875,1.780365134538922,220.01339721679688,0.0,0.0,0.0
2000-01-04,08:00:00,-5.808935546874977,60.097558207127236,864.1696875,0.0,1.3233394622802734,0.42806077003479004,1.3908498679839678,252.0751495361328,29.758020833333333,36.95986544837475,27.355629579188975
2000-01-04,09:00:00,-4.269537353515602,55.94459088428459,865.09546875,0.0,1.1144402027130127,-0.3250410556793213,1.1608740902010641,286.260009765625,172.62927083333332,357.4851758373322,93.45284945119315
2000-01-04,10:00:00,2.3457885742187727,43.029647556452424,865.47453125,0.0,0.33031129837036133,-0.6685237884521484,0.7456739297826677,333.7064514160156,326.81180555555557,595.1840515692257,115.96935661423396
2000-01-04,11:00:00,2.5226989746093977,43.72059728989961,865.0778125,0.0,-0.500239372253418,-0.6130545139312744,0.7912491811079522,39.213714599609375,444.1917361111111,733.8586805569017,116.25619089870696
2000-01-04,12:00:00,2.8501220703125227,41.704175412188675,863.9228125,0.0,-0.667762279510498,-1.3032200336456299,1.4643390720841853,27.130340576171875,507.3753472222222,806.8316606544696,109.58985255024939
2000-01-04,13:00:00,3.0875488281250227,37.689711039056704,863.041171875,0.0008940696716308594,-0.725285530090332,-2.311267137527466,2.42239445201908,17.422088623046875,504.57930555555555,810.103997962413,107.97438327462169
2000-01-04,14:00:00,3.5437866210937727,35.53426209318836,862.238828125,0.0,-1.5215239524841309,-2.3400685787200928,2.791228419727774,33.03211975097656,442.41243055555555,772.8393719263925,104.87230785070864
2000-01-04,15:00:00,3.4661804199218977,35.02777079884467,862.485703125,0.011621043086051941,-1.6971206665039062,-2.1075243949890137,2.7058968258506217,38.84336853027344,242.00416666666666,268.74919149358516,151.1232677346958
2000-01-04,16:00:00,2.3349243164062727,38.336302861936545,862.45921875,0.011621043086051941,-1.876753807067871,-1.5709660053253174,2.4474760554970776,50.06846618652344,116.12711805555556,114.46466915294242,93.17473782794562
2000-01-04,17:00:00,1.7204223632812727,40.638056737497344,861.762734375,0.009832903742790222,-1.2995057106018066,-1.6125679016113281,2.071011909476589,38.86399841308594,19.971840277777776,16.64786183571372,18.889729258456384
2000-01-04,18:00:00,1.6629882812500227,41.866483742937,862.591484375,0.011621043086051941,-0.9422578811645508,-1.6029675006866455,1.8593963329194503,30.447906494140625,0.0,0.0,0.0
2000-01-04,19:00:00,0.5813842773437727,47.48160317163263,863.19984375,0.02413615584373474,-1.0189552307128906,-1.8141772747039795,2.080747208636724,29.3212890625,0.0,0.0,0.0
2000-01-04,20:00:00,-0.04089965820310226,50.24414623490854,863.949296875,0.023242086172103882,0.2626967430114746,-2.572613000869751,2.5859905705614827,354.1695556640625,0.0,0.0,0.0
2000-01-04,21:00:00,-0.23331298828122726,51.02322452918971,864.93671875,0.03396905958652496,0.46453189849853516,-2.6163480281829834,2.657266808075478,349.93206787109375,0.0,0.0,0.0
2000-01-04,22:00:00,-2.7099975585937273,58.74178183873985,865.4128125,0.06883405148983002,0.36765098571777344,-2.214195966720581,2.2445113112526163,350.57244873046875,0.0,0.0,0.0
2000-01-04,23:00:00,-3.1258605957031023,61.83046761962734,865.518671875,0.12336485087871552,0.45544910430908203,-1.7608416080474854,1.8187899975662938,345.498046875,0.0,0.0,0.0
2000-01-05,00:00:00,-3.1910461425781023,63.845815878167386,864.945546875,0.12425892055034637,0.9963669776916504,-1.3021533489227295,1.6396190101194466,322.5779113769531,0.0,0.0,0.0
